,name,sum_counts
,nunique,sum
isoday,,
2021-11-29,2,0.0
2021-12-01,65,149322.0
2021-12-02,65,173378.0
2021-12-03,65,109700.0
2021-12-04,65,80708.0
2021-12-05,64,61446.0
2021-12-06,64,131122.0
2021-12-07,64,143579.0
2021-12-08,65,163616.0
2021-12-09,65,166911.0
2021-12-10,65,127758.0
2021-12-11,65,120081.0
2021-12-12,64,89689.0
2021-12-13,64,157663.0
2021-12-14,64,172557.0
2021-12-15,65,171390.0
2021-12-16,65,179748.0
2021-12-17,65,163144.0
2021-12-18,65,124093.0
2021-12-19,65,85471.0
2021-12-20,65,123770.0
2021-12-21,65,125855.0
2021-12-22,65,99902.0
2021-12-23,65,91207.0
2021-12-24,65,51893.0
2021-12-25,65,28077.0
2021-12-26,65,35610.0
2021-12-27,65,58403.0
2021-12-28,65,71266.0
2021-12-29,65,58142.0
2021-12-30,65,89115.0
2021-12-31,65,84828.0
2022-01-01,65,71988.0
2022-01-02,65,75606.0
2022-01-03,64,104297.0
2022-01-04,66,106185.0
2022-01-05,66,138859.0
2022-01-06,65,140267.0
2022-01-07,65,110176.0
2022-01-08,65,62021.0
2022-01-09,65,58211.0
2022-01-10,65,132024.0
2022-01-11,65,144191.0
2022-01-12,65,139181.0
2022-01-13,65,138377.0
2022-01-14,65,135310.0
2022-01-15,65,117121.0
2022-01-16,65,78102.0
2022-01-17,65,134270.0
2022-01-18,65,151661.0
2022-01-19,65,133573.0
2022-01-20,65,142359.0
2022-01-21,65,132857.0
2022-01-22,65,107897.0
2022-01-23,65,83448.0
2022-01-24,65,141253.0
2022-01-25,65,139374.0
2022-01-26,65,137170.0
2022-01-27,65,140876.0
2022-01-28,65,136911.0
2022-01-29,65,102030.0
2022-01-30,65,110096.0
2022-01-31,65,137322.0
2022-02-01,65,135028.0
2022-02-02,65,154275.0
2022-02-03,65,158674.0
2022-02-04,65,134489.0
2022-02-05,65,132393.0
2022-02-06,65,55684.0
2022-02-07,65,157850.0
2022-02-08,65,169161.0
2022-02-09,65,176662.0
2022-02-10,65,149412.0
2022-02-11,65,156003.0
2022-02-12,65,133021.0
2022-02-13,65,104300.0
2022-02-14,65,139312.0
2022-02-15,65,158828.0
2022-02-16,65,148244.0
2022-02-17,65,177128.0
2022-02-18,65,212981.0
2022-02-19,65,129767.0
2022-02-20,65,88870.0
2022-02-21,65,123503.0
2022-02-22,64,142391.0
2022-02-23,64,153399.0
2022-02-24,64,136690.0
2022-02-25,64,129614.0
2022-02-26,64,111401.0
2022-02-27,64,97283.0
2022-02-28,64,133289.0
2022-03-01,64,142320.0
2022-03-02,64,144508.0
2022-03-03,64,145286.0
2022-03-04,64,134297.0
2022-03-05,63,122862.0
2022-03-06,63,105908.0
2022-03-07,62,152069.0
2022-03-08,63,172924.0
2022-03-09,63,177064.0
2022-03-10,63,187382.0
2022-03-11,63,133075.0
2022-03-12,63,102591.0
2022-03-13,63,70378.0
2022-03-14,63,173011.0
2022-03-15,63,129512.0
2022-03-16,63,179306.0
2022-03-17,63,176697.0
2022-03-18,63,170833.0
2022-03-19,63,140170.0
2022-03-20,63,121863.0
2022-03-21,63,178752.0
2022-03-22,63,201325.0
2022-03-23,63,201298.0
2022-03-24,63,206150.0
2022-03-25,63,192070.0
2022-03-26,63,158438.0
2022-03-27,63,139600.0
2022-03-28,63,184201.0
2022-03-29,63,160509.0
2022-03-30,63,138743.0
2022-03-31,63,142594.0
2022-04-01,63,90290.0
2022-04-02,63,101666.0
2022-04-03,63,98681.0
2022-04-04,63,153040.0
2022-04-05,63,149675.0
2022-04-06,63,166778.0
2022-04-07,65,157841.0
2022-04-08,65,74440.0
2022-04-09,65,111796.0
2022-04-10,65,139551.0
2022-04-11,65,192730.0
2022-04-12,65,216100.0
2022-04-13,65,135128.0
2022-04-14,64,215299.0
2022-04-15,64,187724.0
2022-04-16,64,138153.0
2022-04-17,64,121922.0
2022-04-18,64,119039.0
2022-04-19,64,199185.0
2022-04-20,64,206184.0
2022-04-21,64,218911.0
2022-04-22,64,199224.0
2022-04-23,64,129419.0
2022-04-24,64,141722.0
2022-04-25,64,169731.0
