,name,counts
,nunique,sum
isoday,,
2014-11-06,1,231.0
2014-11-07,1,310.0
2014-11-08,1,211.0
2014-11-09,1,162.0
2014-11-10,1,288.0
2014-11-11,1,85.0
2014-11-12,1,295.0
2014-11-13,1,317.0
2014-11-14,1,323.0
2014-11-15,1,246.0
2014-11-16,1,169.0
2014-11-17,1,238.0
2014-11-18,1,330.0
2014-11-19,1,300.0
2014-11-20,1,329.0
2014-11-21,1,339.0
2014-11-22,1,269.0
2014-11-23,1,118.0
2014-11-24,1,289.0
2014-11-25,1,265.0
2014-11-26,1,290.0
2014-11-27,1,302.0
2014-11-28,1,352.0
2014-11-29,1,309.0
2014-11-30,1,152.0
2014-12-01,1,305.0
2014-12-02,1,320.0
2014-12-03,1,336.0
2014-12-04,1,311.0
2014-12-05,1,283.0
2014-12-06,1,269.0
2014-12-07,1,125.0
2014-12-08,1,239.0
2014-12-09,1,299.0
2014-12-10,1,298.0
2014-12-11,1,338.0
2014-12-12,1,193.0
2014-12-13,1,191.0
2014-12-14,1,140.0
2014-12-15,1,264.0
2014-12-16,1,325.0
2014-12-17,1,300.0
2014-12-18,1,331.0
2014-12-19,1,283.0
2014-12-20,1,279.0
2014-12-21,1,130.0
2014-12-22,1,241.0
2014-12-23,1,224.0
2014-12-24,1,164.0
2014-12-25,1,47.0
2014-12-26,1,106.0
2014-12-27,1,92.0
2014-12-28,1,74.0
2014-12-29,1,125.0
2014-12-30,1,159.0
2014-12-31,1,139.0
2015-01-01,1,55.0
2015-01-02,1,143.0
2015-01-03,1,161.0
2015-01-04,1,102.0
2015-01-05,1,282.0
2015-01-06,1,312.0
2015-01-07,1,295.0
2015-01-08,1,269.0
2015-01-09,1,316.0
2015-01-10,1,224.0
2015-01-11,1,243.0
2015-01-12,1,279.0
2015-01-13,1,252.0
2015-01-14,1,305.0
2015-01-15,1,199.0
2015-01-16,1,247.0
2015-01-17,1,243.0
2015-01-18,1,61.0
2015-01-19,1,296.0
2015-01-20,1,303.0
2015-01-21,1,285.0
2015-01-22,1,333.0
2015-01-23,1,287.0
2015-01-24,1,211.0
2015-01-25,1,147.0
2015-01-26,1,262.0
2015-01-27,1,319.0
2015-01-28,1,281.0
2015-01-29,1,224.0
2015-01-30,1,209.0
2015-01-31,1,152.0
2015-02-01,1,89.0
2015-02-02,1,233.0
2015-02-03,1,266.0
2015-02-04,1,291.0
2015-02-05,1,271.0
2015-02-06,1,252.0
2015-02-07,1,221.0
2015-02-08,1,129.0
2015-02-09,1,227.0
2015-02-10,1,233.0
2015-02-11,1,233.0
2015-02-12,1,272.0
2015-02-13,1,187.0
2015-02-14,1,177.0
2015-02-15,1,104.0
2015-02-16,1,145.0
2015-02-17,1,216.0
2015-02-18,1,243.0
2015-02-19,1,230.0
2015-02-20,1,122.0
2015-02-21,1,149.0
2015-02-22,1,93.0
2015-02-23,1,256.0
2015-02-24,1,298.0
2015-02-25,1,221.0
2015-02-26,1,245.0
2015-02-27,1,283.0
2015-02-28,1,208.0
2015-03-01,1,147.0
2015-03-02,1,307.0
2015-03-03,1,289.0
2015-03-04,1,307.0
2015-03-05,1,353.0
2015-03-06,1,339.0
2015-03-07,1,342.0
2015-03-08,1,209.0
2015-03-09,1,310.0
2015-03-10,1,292.0
2015-03-11,1,345.0
2015-03-12,1,370.0
2015-03-13,1,244.0
2015-03-14,1,209.0
2015-03-15,1,147.0
2015-03-16,1,335.0
2015-03-17,1,414.0
2015-03-18,1,411.0
2015-03-19,1,352.0
2015-03-20,1,298.0
2015-03-21,1,221.0
2015-03-22,1,149.0
2015-03-23,1,337.0
2015-03-24,1,302.0
2015-03-25,1,319.0
2015-03-26,1,258.0
2015-03-27,1,289.0
2015-03-28,1,259.0
2015-03-29,1,111.0
2015-03-30,1,258.0
2015-03-31,1,339.0
2015-04-01,1,333.0
2015-04-02,1,311.0
2015-04-03,1,226.0
2015-04-04,1,208.0
2015-04-05,1,135.0
2015-04-06,1,172.0
2015-04-07,1,412.0
2015-04-08,1,400.0
2015-04-09,1,431.0
2015-04-10,1,385.0
2015-04-11,1,247.0
2015-04-12,1,231.0
2015-04-13,1,326.0
